SR.NO.,DATE,VEHICLE NO.,WIGHT,RATE,AMOUNT,CREDIT,DEBIT
1,26-05-2022,UP63AT-1721,28.570,1250,35713,,35713
2,26-05-2022,UP63AT-5055,28.140,1250,35175,,35175
3,26-05-2022,RJ11GB-8134,37.640,1250,47050,,47050
4,26-05-2022,RJ11GC-0497,37.520,1250,46900,,46900
5,26-05-2022,RJ11GC-0566,37.600,1250,47000,,47000
6,26-05-2022,RJ11GB-6768,31.710,1250,39638,,39638
7,26-05-2022,RJ11GB-8143,37.610,1250,47013,,47013
8,26-05-2022,RJ11GB-4341,37.070,1250,46338,300000 PUMP,46338
9,27-05-2022,UP65HT-9383,32.560,1250,40700,,40700
10,27-05-2022,MP28H-1949,24.040,1250,30050,,30050
11,28-05-2022,MP66H-1512,23.690,1250,29613,100000 PUMP,29613
12,28-05-2022,MP66H-2482,33.030,1250,41288,,41288
13,28-05-2022,MP15HA-6775,28.830,1250,36038,,36038
14,28-05-2022,TS07UK-1175,28.770,1250,35963,100000 ACC,35963
15,28-05-2022,MP13H-7635,29.090,1250,36363,,36363
16,29-05-2022,UP53ET-1748,33.280,1250,41600,,41600
17,29-05-2022,UP51AT-3354,32.350,1250,40438,100000  ACC,40438
18,30-05-2022,MP53HA-2772,29.400,1250,36750,,36750
19,30-05-2022,MP09HH-5682,23.790,1250,29738,,29738
20,30-05-2022,UP64AT-5218,39.330,1250,49163,100000 PUMP,49163
21,30-05-2022,RJ17GA-7377,28.790,1250,35988,,35988
22,31-05-2022,MP09HH-8681,29.020,1250,36275,,36275
23,31-05-2022,MP09HG-8061,23.820,1250,29775,,29775
24,01-06-2022,MP09HH-5792,29.590,1250,36988,,36988
25,01-06-2022,MH18BG-7505,29.980,1250,37475,,37475
26,02-06-2022,UP54AT-1288,39.240,1250,49050,,49050
27,02-06-2022,UP54AT-5218,39.260,1250,49075,,49075
28,02-06-2022,UP63AT-8762,33.120,1250,41400,,41400
29,02-06-2022,MP09HG-7281,29.170,1250,36463,,36463
30,02-06-2022,UP61AT-0955,28.560,1250,35700,,35700
31,03-06-2022,MP09HG-5761,24.030,1250,30038,,30038
32,03-06-2022,MP17HH-2956,24.020,1250,30025,,30025
33,03-06-2022,RJ17GA-9639,33.070,1250,41338,,41338
34,03-06-2022,UP63AT-1721,28.720,1250,35900,200000 PUMP,35900
35,03-06-2022,MP53HA-2322,24.920,1250,31150,,31150
36,03-06-2022,MP53HA-2660,24.024,1250,30030,100000 ACC,30030
37,03-06-2022,MP09HH-8187,29.260,1250,36575,,36575
38,03-06-2022,MP20HB-0067,17.180,1250,21475,,21475
39,03-06-2022,RJ14GH-2624,35.700,1250,44625,,44625
40,03-06-2022,MP53HA-2253,33.990,1250,42488,,42488
41,03-06-2022,MP16H-1568,28.380,1250,35475,,35475
42,03-06-2022,UP70KT-7224,39.900,1250,49875,,49875
43,03-06-2022,UP70KT-7377,40.110,1250,50138,,50138
44,04-06-2022,MP53HA-1927,23.710,1250,29638,,29638
45,04-06-2022,MP09HJ-8625,29.120,1250,36400,,36400
46,04-06-2022,MP20HB-8191,23.610,1250,29513,,29513
47,04-06-2022,TS07UK-1475,28.710,1250,35888,,35888
48,04-06-2022,UP60AT-8357,37.040,1250,46300,,46300
49,04-06-2022,UP60AT-8649,37.350,1250,46688,200000 PUMP,46688
50,04-06-2022,MP17HH-3291,23.200,1250,29000,,29000
51,04-06-2022,MP09HF-9942,28.970,1250,36213,,36213
52,05-06-2022,UP54AT-1288,38.930,1250,48663,100000 ACC,48663
53,05-06-2022,UP63AT-5707,28.510,1250,35638,,35638
54,05-06-2022,UP60AT-8544,37.770,1250,47213,,47213
55,05-06-2022,UP60AT-2832,39.770,1250,49713,,49713
56,05-06-2022,MP09HH-3922,30.240,1250,37800,,37800
57,05-06-2022,MP20HB-9254,28.980,1250,36225,,36225
58,05-06-2022,UP54AT-5218,38.550,1250,48188,,48188
59,05-06-2022,MH18AA-9283,29.270,1250,36588,,36588
60,05-06-2022,MP37GA-6461,33.500,1250,41875,,41875
61,05-06-2022,MP15HA-3575,28.320,1250,35400,,35400
62,05-06-2022,MP20GA-8385,23.570,1250,29463,,29463
63,05-06-2022,CG10C-9616,23.410,1250,29263,,29263
64,05-06-2022,MP09HH-1426,29.200,1250,36500,,36500
65,05-06-2022,RJ11GB-4008,29.070,1250,36338,,36338
66,05-06-2022,MP09HH-1794,29.150,1250,36438,,36438
67,05-06-2022,MP09HH-5266,28.810,1250,36013,,36013
68,05-06-2022,MP20HB-4095,17.160,1250,21450,,21450
69,05-06-2022,MP19HA-4790,17.070,1250,21338,,21338
70,05-06-2022,MP19HA-3963,18.040,1250,22550,,22550
71,05-06-2022,MP19HA-9109,28.900,1250,36125,,36125
72,06-06-2022,MP66H-0465,23.920,1250,29900,200000 PUMP,29900
73,06-06-2022,MP19HA-3193,17.440,1250,21800,,21800
